Spain, Female population exposure by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 24/10/2018
Year    Age        Exposure
1929     18       229125.78
1929     19       225379.17
1929     20       210266.74
1929     21       222142.25
1929     22       214363.86
1929     23       217555.93
1929     24       211793.05
1929     25       203971.36
1929     26       204285.69
1929     27       189889.61
1929     28       202193.60
1929     29       198244.22
1929     30       150439.93
1929     31       161175.49
1929     32       159139.04
1929     33       163309.86
1929     34       163425.70
1929     35       151593.99
1929     36       152022.26
1929     37       144852.77
1929     38       169978.63
1929     39       159275.11
1929     40       122944.65
1929     41       130544.35
1929     42       123546.65
1929     43       135364.16
1929     44       134697.98
1929     45       116728.96
1929     46       119306.34
1929     47       116538.38
1929     48       147694.72
1929     49       138615.15
1929     50        99151.03
1929     51       104610.96
1929     52       102683.87
1929     53       112599.79
1929     54       112984.48
1929     55        98620.05
1930     12       230837.96
1930     13       217628.16
1930     14       215511.56
1930     15       220909.26
1930     16       218451.67
1930     17       234259.71
1930     18       226698.34
1930     19       228273.32
1930     20       224243.77
1930     21       208149.86
1930     22       221012.57
1930     23       213598.75
1930     24       216746.34
1930     25       211066.73
1930     26       202531.41
1930     27       202489.07
1930     28       187912.42
1930     29       201732.03
1930     30       197296.48
1930     31       147563.14
1930     32       158916.29
1930     33       156343.15
1930     34       160318.75
1930     35       161383.27
1930     36       149766.02
1930     37       150229.26
1930     38       143838.85
1930     39       169204.70
1930     40       157669.89
1930     41       121413.41
1930     42       129145.93
1930     43       121968.52
1930     44       134546.61
1930     45       133675.79
1930     46       115511.82
1930     47       118671.82
1930     48       115909.08
1930     49       145663.27
1930     50       136038.77
1930     51        97432.43
1930     52       103175.39
1930     53       101019.82
1930     54       110458.15
1930     55       111321.34
1931     12       219509.51
1931     13       230620.90
1931     14       218483.71
1931     15       215697.28
1931     16       221476.08
1931     17       218299.52
1931     18       234525.64
1931     19       225485.65
1931     20       227586.63
1931     21       223847.29
1931     22       205571.03
1931     23       219402.84
1931     24       211781.70
1931     25       214720.05
1931     26       209396.56
1931     27       200706.01
1931     28       200703.47
1931     29       185905.79
1931     30       202197.96
1931     31       195518.62
1931     32       146059.03
1931     33       157314.86
1931     34       154077.14
1931     35       158597.80
1931     36       160756.86
1931     37       147804.52
1931     38       149201.21
1931     39       143034.48
1931     40       168276.74
1931     41       155476.29
1931     42       120788.66
1931     43       127370.12
1931     44       121043.66
1931     45       133462.19
1931     46       132069.58
1931     47       114700.05
1931     48       118106.47
1931     49       114601.12
1931     50       143540.69
1931     51       134228.24
1931     52        96500.41
1931     53       101896.09
1931     54       100144.19
1931     55       108623.99
1932     12       239902.33
1932     13       219256.74
1932     14       231509.99
1932     15       220092.28
1932     16       217379.01
1932     17       223007.08
1932     18       218772.70
1932     19       234257.99
1932     20       224402.82
1932     21       227526.58
1932     22       223046.51
1932     23       202592.36
1932     24       216857.07
1932     25       208925.33
1932     26       211884.22
1932     27       207383.50
1932     28       198905.55
1932     29       198957.27
1932     30       184811.97
1932     31       201899.59
1932     32       195061.14
1932     33       145228.92
1932     34       156265.39
1932     35       153056.19
1932     36       158244.98
1932     37       160006.99
1932     38       146633.35
1932     39       148412.68
1932     40       142116.56
1932     41       166752.80
1932     42       154168.14
1932     43       119822.19
1932     44       126279.04
1932     45       119896.65
1932     46       131827.46
1932     47       130871.44
1932     48       113964.11
1932     49       116886.47
1932     50       113243.65
1932     51       142184.42
1932     52       133194.15
1932     53        95699.60
1932     54       101391.58
1932     55        99581.41
1933     12       244037.39
1933     13       240752.77
1933     14       218954.39
1933     15       232331.35
1933     16       221683.61
1933     17       219014.73
1933     18       224464.34
1933     19       219278.73
1933     20       234037.91
1933     21       223368.03
1933     22       227449.42
1933     23       222193.08
1933     24       199679.85
1933     25       214376.52
1933     26       206119.84
1933     27       209072.50
1933     28       205372.71
1933     29       197250.46
1933     30       197203.04
1933     31       183792.98
1933     32       201734.26
1933     33       194490.38
1933     34       144479.50
1933     35       155215.81
1933     36       152009.58
1933     37       158026.65
1933     38       159250.34
1933     39       145500.03
1933     40       147466.69
1933     41       141250.46
1933     42       165379.53
1933     43       152785.64
1933     44       118950.12
1933     45       125002.77
1933     46       118696.44
1933     47       130333.02
1933     48       129609.10
1933     49       113248.26
1933     50       115448.96
1933     51       111905.92
1933     52       140988.53
1933     53       131991.33
1933     54        94906.76
1933     55       100668.40
1934     12       255380.52
1934     13       245194.09
1934     14       241537.70
1934     15       218608.44
1934     16       233138.37
1934     17       223222.21
1934     18       220562.27
1934     19       225922.96
1934     20       219808.75
1934     21       233851.18
1934     22       222311.95
1934     23       227296.94
1934     24       221363.95
1934     25       196803.39
1934     26       211916.42
1934     27       203332.94
1934     28       206280.51
1934     29       203487.50
1934     30       195552.41
1934     31       195533.13
1934     32       182908.53
1934     33       201420.83
1934     34       193995.88
1934     35       143704.59
1934     36       154131.08
1934     37       151078.24
1934     38       157764.85
1934     39       158510.92
1934     40       144210.40
1934     41       146577.32
1934     42       140535.96
1934     43       163915.91
1934     44       151464.94
1934     45       117872.29
1934     46       123677.64
1934     47       117641.17
1934     48       128750.39
1934     49       128333.41
1934     50       112300.69
1934     51       114030.59
1934     52       110742.21
1934     53       139656.62
1934     54       130785.39
1934     55        93901.52
1935     12       263235.28
1935     13       256837.39
1935     14       246300.68
1935     15       242296.91
1935     16       218252.91
1935     17       233890.82
1935     18       224673.17
1935     19       222107.87
1935     20       227389.39
1935     21       220351.78
1935     22       233633.78
1935     23       221146.05
1935     24       227150.87
1935     25       220590.49
1935     26       193956.81
1935     27       209475.55
1935     28       200564.25
1935     29       203611.81
1935     30       201582.03
1935     31       193951.47
1935     32       193959.98
1935     33       181873.83
1935     34       201157.91
1935     35       193425.13
1935     36       142895.74
1935     37       153158.67
1935     38       150108.87
1935     39       157541.82
1935     40       157642.71
1935     41       142983.29
1935     42       145845.22
1935     43       139750.17
1935     44       162531.67
1935     45       149995.70
1935     46       116798.28
1935     47       122487.08
1935     48       116483.48
1935     49       127161.88
1935     50       126850.14
1935     51       111395.47
1935     52       112781.89
1935     53       109432.27
1935     54       138316.76
1935     55       129368.90
1936     12       263035.79
1936     13       264598.28
1936     14       258256.02
1936     15       247375.75
1936     16       243015.27
1936     17       217818.68
1936     18       234545.63
1936     19       226118.22
1936     20       223657.86
1936     21       228873.18
1936     22       220874.71
1936     23       233331.66
1936     24       219995.77
1936     25       227059.91
1936     26       219862.44
1936     27       191149.18
1936     28       207071.62
1936     29       197918.50
1936     30       200907.33
1936     31       199747.67
1936     32       192450.03
1936     33       192258.91
1936     34       180914.17
1936     35       200885.19
1936     36       192880.58
1936     37       142199.84
1936     38       152156.53
1936     39       149199.76
1936     40       157192.65
1936     41       156839.14
1936     42       141911.77
1936     43       145047.96
1936     44       139051.76
1936     45       160993.86
1936     46       148497.70
1936     47       115824.30
1936     48       121210.65
1936     49       115353.58
1936     50       125362.08
1936     51       125355.98
