"a" "b" "c"
"1946" 1.766264159119 3.00143233434623 28.2807594342754
"1947" 1.74467863097221 2.99032076425339 28.040268608414
"1948" 1.71969364236901 2.98563520498003 27.8359363019729
"1949" 1.69216306164647 2.9872571411208 27.665269595772
"1950" 1.66351944545994 2.99491003097537 27.522933466195
"1951" 1.63000066640785 3.01010942890679 27.4261354757044
"1952" 1.59629814184312 3.03093847198035 27.3528794407678
"1953" 1.56530727250921 3.05734385068485 27.2763775090639
"1954" 1.53981452361927 3.08671879450369 27.2045287396359
"1955" 1.52793072970685 3.12124538142392 27.1313640543267
"1956" 1.5232080454186 3.15535099578837 27.0584130892411
"1957" 1.52527965657406 3.18498301784354 26.9834267477127
"1958" 1.53261367027789 3.20888938636475 26.9083670105434
"1959" 1.54462851123203 3.22780570299924 26.8336096802706
"1960" 1.56608389801076 3.23686961132076 26.7509331180368
"1961" 1.58816767426232 3.2401981278328 26.669938285969
"1962" 1.60977974973037 3.23721213472168 26.5902159625977
"1963" 1.62480496258619 3.23109449162521 26.5198044615564
"1964" 1.62059818254136 3.22273518945831 26.4795578594806
"1965" 1.60645135079127 3.21337251404819 26.4494447138457
"1966" 1.57304874908555 3.20435108268767 26.4366471233813
"1967" 1.53342114596902 3.19956143021517 26.4258902168773
"1968" 1.48968476321955 3.19693663462144 26.4077830554913
"1969" 1.45883642675539 3.19331039166534 26.3558337615423
"1970" 1.42467557400666 3.1937849833446 26.2889717822482
"1971" 1.38272298726442 3.19584617421077 26.183599676087
"1972" 1.33542222389098 3.20740312322122 26.0705950232379
"1973" 1.26548060327819 3.24093962676632 25.9509357622164
"1974" 1.19483818003757 3.28618464379878 25.8453777036315
"1975" 1.12326900546323 3.35286092583816 25.7719814725335
"1976" 1.07629840750477 3.43026893066802 25.754208828663
"1977" 1.04237307864701 3.50822776481145 25.774010056813
"1978" 1.04512460305634 3.56894125929948 25.8595375906728
"1979" 1.05683650597112 3.62223404233911 25.9740774653882
"1980" 1.06283413385255 3.65405667234094 26.1012310646293
"1981" 1.06887789904881 3.67899303028404 26.2456913446695
"1982" 1.06018481882828 3.70459338980112 26.3798104765251
"1983" 1.04927165567388 3.7269361884309 26.5272526875337
"1984" 1.03464181976429 3.75338310273314 26.691465849563
"1985" 1.02616737722449 3.77561709716427 26.8919696948277
"1986" 1.01918254276272 3.79398442876706 27.1030225265396
"1987" 1.0203219932121 3.79853602642423 27.3263583848097
"1988" 1.02131007586399 3.80050780098427 27.5473285813841
"1989" 1.01254042836056 3.79946202403129 27.7296692550302
"1990" 1.00155292348418 3.80179137539699 27.9021430759252
"1991" 0.985894288909281 3.82256790113388 28.0597857127001
"1992" 0.971116958235719 3.84905689198034 28.2133627837633
"1993" 0.959720935069563 3.8892095669016 28.3785943275593
"1994" 0.953794236178793 3.93037399461861 28.5568088628447
"1995" 0.952643930654498 3.96666508729472 28.7310472216848
"1996" 0.963650032375669 3.983006231694 28.8947216093193
"1997" 0.979306314113806 3.98811585549089 29.044987644206
"1998" 0.99837801916695 3.96618168040003 29.1608004966256
"1999" 1.01808824125033 3.93664732864751 29.2609616453924
"2000" 1.03271747212039 3.90693428883342 29.3389176575287
"2001" 1.04664119476653 3.87748729053725 29.4089685640485
"2002" 1.05858785817293 3.85871473628486 29.4812291640538
"2003" 1.0687696832243 3.8498384745734 29.564521137158
"2004" 1.07821897713734 3.84445890002056 29.6485528375497
"2005" 1.09055959780854 3.84062618952569 29.7376960958263
"2006" 1.10274562221877 3.83755733077256 29.8256051011859
"2007" 1.11563595966159 3.82800293602898 29.9033652228346
"2008" 1.12669855306499 3.81845989364248 29.9783898781127
"2009" 1.13261839602042 3.80908027652242 30.0441000513423
"2010" 1.13534810798251 3.80236490897431 30.110532255176
"2011" 1.13459365601901 3.8025637329461 30.1880232415182
"2012" 1.13008421131229 3.80751326518475 30.2717318743679
"2013" 1.12131294431817 3.8178931567677 30.3635894255501
"2014" 1.10867908527988 3.83321825361686 30.4621521590044
"2015" 1.09200539324324 3.85401371322953 30.5684943406239
"2016" 1.07137580580343 3.88002420204453 30.682069824522
