"1930" "1931" "1932" "1933" "1934" "1935" "1936" "1937" "1938" "1939" "1940" "1941" "1942" "1943" "1944" "1945" "1946" "1947" "1948" "1949" "1950" "1951" "1952" "1953" "1954" "1955" "1956" "1957" "1958" "1959" "1960" "1961" "1962" "1963" "1964" "1965" "1966" "1967" "1968" "1969" "1970" "1971" "1972" "1973" "1974" "1975" "1976" "1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000" "2001" "2002" "2003" "2004" "2005" "2006"
"24" 31281 31434 31550 31637 31705 31763 31820 31886 31971 32084 32162 32147 32061 31927 31765 31599 31448 31335 31279 31302 31375 31458 31550 31650 31760 31879 32005 32141 32284 32436 32596 32763 32938 33120 33310 33507 33712 33923 34140 34377 34640 34926 35230 35547 35871 36198 36523 36839 37141 37423 37678 37902 38086 38225 38314 38344 38312 38211 38068 37911 37740 37555 37355 37141 36911 36667 36407 36132 35841 35535 35213 34875 34522 34153 33768 33369 32954
"25" 30992 31177 31321 31434 31526 31606 31684 31770 31873 32005 32100 32100 32026 31902 31749 31588 31442 31332 31277 31300 31371 31447 31527 31613 31705 31802 31906 32016 32134 32259 32392 32533 32682 32841 33009 33187 33376 33575 33785 34019 34286 34579 34895 35228 35572 35924 36275 36622 36957 37274 37566 37828 38051 38229 38356 38424 38428 38360 38247 38121 37980 37824 37653 37467 37265 37047 36813 36563 36297 36014 35715 35400 35068 34720 34355 33975 33578
"26" 30680 30894 31066 31206 31322 31425 31525 31631 31753 31903 32015 32033 31978 31871 31733 31587 31453 31351 31302 31327 31395 31463 31530 31599 31670 31743 31821 31903 31991 32086 32189 32300 32422 32553 32697 32854 33025 33210 33413 33643 33910 34209 34533 34878 35239 35610 35985 36358 36722 37071 37398 37695 37957 38175 38342 38451 38495 38467 38393 38302 38194 38070 37928 37769 37593 37401 37191 36964 36720 36459 36182 35888 35578 35252 34911 34553 34181
"27" 30345 30587 30786 30952 31093 31220 31342 31468 31609 31775 31906 31944 31912 31827 31712 31586 31470 31382 31342 31370 31435 31494 31547 31598 31646 31695 31744 31797 31854 31917 31988 32068 32159 32263 32381 32515 32667 32839 33032 33259 33525 33826 34157 34511 34885 35272 35666 36061 36450 36828 37186 37518 37816 38073 38280 38432 38519 38535 38503 38451 38378 38286 38174 38043 37893 37724 37537 37332 37110 36870 36614 36343 36055 35753 35436 35105 34760
"28" 29988 30254 30479 30670 30837 30988 31133 31280 31440 31622 31769 31830 31822 31765 31677 31577 31482 31412 31384 31416 31478 31528 31568 31599 31626 31648 31670 31692 31718 31749 31788 31836 31897 31973 32065 32177 32311 32469 32654 32876 33140 33442 33777 34138 34522 34921 35331 35744 36156 36558 36945 37307 37639 37933 38180 38372 38503 38564 38576 38564 38528 38468 38387 38283 38159 38014 37850 37667 37466 37248 37014 36764 36500 36222 35931 35629 35315
"29" 29609 29897 30145 30362 30554 30730 30898 31066 31243 31439 31602 31685 31705 31678 31620 31549 31480 31431 31416 31454 31513 31554 31580 31594 31598 31596 31591 31584 31580 31581 31589 31608 31640 31689 31757 31848 31964 32109 32285 32503 32765 33068 33404 33771 34161 34571 34993 35423 35852 36276 36687 37077 37439 37766 38049 38280 38452 38557 38611 38638 38637 38611 38560 38485 38387 38268 38128 37968 37790 37594 37383 37156 36917 36664 36400 36126 35843
"30" 29208 29514 29785 30025 30243 30443 30635 30824 31019 31226 31403 31508 31556 31560 31534 31494 31453 31426 31427 31470 31526 31559 31573 31571 31556 31531 31501 31469 31437 31410 31391 31384 31391 31416 31462 31534 31634 31767 31936 32150 32410 32712 33050 33420 33816 34233 34666 35108 35553 35994 36425 36839 37227 37582 37897 38162 38370 38513 38606 38669 38703 38710 38690 38644 38574 38482 38368 38233 38080 37910 37723 37522 37307 37081 36843 36597 36343
"31" 28786 29107 29397 29661 29903 30128 30344 30554 30764 30982 31169 31295 31370 31405 31412 31403 31391 31387 31404 31452 31506 31533 31536 31520 31488 31445 31395 31341 31287 31237 31195 31165 31151 31156 31185 31241 31329 31452 31615 31825 32083 32384 32723 33096 33496 33920 34360 34813 35270 35726 36173 36605 37014 37392 37732 38025 38262 38436 38561 38656 38721 38759 38770 38755 38715 38653 38568 38463 38338 38196 38037 37863 37675 37475 37263 37042 36813
"32" 28344 28676 28982 29267 29534 29784 30023 30253 30479 30704 30900 31043 31142 31207 31245 31268 31284 31303 31334 31388 31440 31462 31458 31432 31388 31331 31266 31196 31125 31059 31000 30954 30925 30916 30931 30976 31054 31170 31328 31536 31792 32093 32434 32809 33213 33642 34089 34549 35016 35482 35942 36388 36812 37206 37563 37875 38132 38327 38474 38594 38687 38754 38795 38813 38806 38777 38727 38655 38564 38454 38327 38183 38024 37850 37663 37463 37253
"33" 27883 28220 28541 28846 29135 29411 29673 29923 30162 30392 30593 30750 30871 30961 31028 31079 31121 31161 31207 31267 31317 31336 31328 31296 31246 31182 31108 31029 30950 30874 30807 30752 30714 30697 30706 30744 30817 30929 31085 31291 31547 31849 32191 32569 32977 33410 33862 34329 34802 35276 35744 36198 36630 37034 37399 37719 37985 38187 38345 38481 38596 38690 38762 38814 38844 38853 38842 38811 38759 38687 38596 38486 38357 38209 38043 37860 37660
