"1930" "1931" "1932" "1933" "1934" "1935" "1936" "1937" "1938" "1939" "1940" "1941" "1942" "1943" "1944" "1945" "1946" "1947" "1948" "1949" "1950" "1951" "1952" "1953" "1954" "1955" "1956" "1957" "1958" "1959" "1960" "1961" "1962" "1963" "1964" "1965" "1966" "1967" "1968" "1969" "1970" "1971" "1972" "1973" "1974" "1975" "1976" "1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000" "2001" "2002" "2003" "2004" "2005" "2006"
"67" 11627 11809 12013 12238 12478 12732 12993 13258 13523 13781 14001 14166 14289 14385 14470 14559 14669 14818 15023 15303 15637 15988 16356 16739 17136 17546 17967 18398 18837 19282 19730 20180 20628 21072 21510 21936 22350 22746 23121 23463 23764 24025 24249 24440 24598 24729 24834 24919 24985 25038 25080 25116 25149 25183 25222 25271 25332 25410 25499 25590 25683 25780 25882 25988 26100 26220 26347 26483 26628 26784 26952 27132 27326 27534 27759 28001 28261
"68" 11057 11227 11422 11637 11868 12112 12365 12621 12875 13123 13334 13489 13603 13690 13767 13847 13949 14088 14283 14552 14874 15214 15570 15943 16330 16731 17144 17567 18000 18439 18883 19330 19777 20221 20659 21088 21506 21907 22290 22642 22958 23238 23485 23701 23887 24048 24186 24303 24403 24489 24564 24632 24695 24759 24825 24897 24979 25075 25175 25268 25355 25439 25521 25603 25687 25773 25865 25963 26070 26187 26317 26461 26621 26800 26999 27220 27467
"69" 10439 10599 10783 10987 11209 11443 11686 11932 12176 12412 12614 12768 12884 12978 13062 13151 13260 13403 13598 13861 14173 14502 14847 15208 15584 15973 16375 16788 17210 17640 18077 18518 18960 19403 19842 20275 20700 21112 21509 21881 22218 22523 22797 23042 23260 23453 23624 23775 23910 24030 24139 24240 24337 24432 24528 24629 24738 24859 24977 25079 25166 25241 25306 25365 25421 25475 25531 25592 25660 25738 25829 25936 26062 26211 26385 26588 26823
"70" 9776 9925 10098 10292 10503 10727 10959 11194 11426 11650 11845 12001 12128 12237 12339 12447 12573 12730 12930 13191 13494 13813 14146 14495 14857 15233 15621 16020 16430 16848 17274 17706 18142 18581 19020 19457 19889 20315 20731 21126 21489 21822 22125 22402 22652 22879 23084 23270 23440 23595 23740 23876 24007 24135 24265 24398 24538 24689 24832 24946 25036 25105 25157 25195 25224 25247 25268 25291 25321 25360 25413 25484 25577 25697 25846 26031 26256
"71" 9073 9211 9373 9556 9756 9969 10190 10413 10633 10843 11030 11191 11331 11460 11587 11720 11868 12042 12253 12511 12805 13112 13434 13769 14116 14477 14849 15233 15627 16031 16444 16865 17292 17724 18161 18600 19039 19477 19912 20331 20720 21081 21414 21722 22005 22265 22505 22727 22932 23123 23304 23476 23642 23806 23970 24138 24312 24496 24665 24795 24890 24956 24996 25015 25020 25013 25002 24990 24982 24985 25002 25038 25100 25191 25318 25486 25701
"72" 8338 8464 8615 8787 8976 9177 9385 9596 9802 9998 10178 10342 10497 10647 10798 10956 11128 11321 11541 11797 12080 12375 12683 13002 13334 13678 14033 14399 14776 15164 15562 15969 16385 16809 17240 17678 18121 18568 19018 19457 19869 20255 20616 20953 21268 21561 21835 22091 22331 22559 22775 22983 23186 23385 23584 23786 23994 24211 24407 24553 24656 24719 24750 24753 24736 24703 24662 24618 24577 24546 24530 24535 24568 24633 24739 24891 25096
"73" 7578 7693 7833 7994 8171 8360 8556 8753 8945 9126 9296 9463 9629 9797 9970 10151 10344 10552 10779 11031 11301 11582 11874 12177 12491 12817 13154 13501 13860 14230 14611 15003 15405 15817 16240 16672 17113 17564 18022 18474 18902 19308 19692 20055 20397 20721 21026 21315 21589 21852 22103 22346 22584 22817 23050 23285 23523 23770 23990 24152 24261 24324 24348 24338 24303 24249 24183 24112 24043 23984 23940 23918 23925 23969 24056 24193 24389
"74" 6807 6912 7040 7190 7355 7531 7714 7897 8075 8239 8399 8564 8737 8917 9106 9304 9511 9730 9960 10203 10457 10722 10997 11282 11577 11884 12201 12529 12869 13220 13582 13956 14342 14740 15150 15571 16005 16450 16908 17362 17798 18216 18616 18997 19362 19711 20043 20362 20668 20962 21246 21522 21791 22056 22319 22582 22847 23116 23355 23528 23644 23707 23726 23707 23659 23589 23505 23414 23325 23244 23179 23137 23125 23151 23222 23346 23532
"75" 6037 6131 6249 6386 6539 6703 6872 7041 7203 7352 7499 7659 7832 8018 8214 8419 8633 8854 9081 9311 9548 9793 10049 10315 10591 10877 11174 11482 11802 12133 12476 12831 13198 13577 13969 14374 14792 15224 15668 16113 16546 16965 17371 17764 18144 18511 18865 19208 19540 19862 20174 20478 20776 21067 21354 21639 21922 22205 22453 22634 22752 22816 22832 22809 22754 22675 22581 22480 22378 22285 22207 22152 22127 22141 22200 22314 22489
"76" 5281 5365 5472 5598 5738 5888 6043 6198 6345 6477 6610 6762 6929 7111 7305 7509 7720 7935 8151 8364 8579 8804 9038 9283 9538 9804 10081 10368 10667 10978 11300 11634 11979 12337 12707 13090 13484 13891 14311 14734 15150 15559 15961 16355 16740 17117 17486 17846 18198 18541 18876 19202 19520 19831 20135 20432 20723 21009 21256 21436 21554 21618 21634 21611 21556 21476 21381 21278 21175 21079 20998 20938 20909 20916 20968 21073 21238
"77" 4553 4627 4723 4837 4965 5102 5243 5382 5514 5631 5749 5887 6042 6212 6395 6588 6786 6986 7185 7376 7567 7769 7981 8204 8437 8682 8938 9204 9482 9771 10071 10383 10705 11038 11381 11735 12099 12473 12855 13242 13630 14017 14403 14787 15168 15546 15920 16288 16651 17007 17356 17697 18029 18350 18661 18961 19248 19523 19757 19929 20042 20105 20123 20104 20055 19983 19896 19802 19707 19619 19544 19490 19463 19470 19519 19616 19771
"78" 3881 3947 4032 4134 4248 4371 4497 4621 4738 4840 4943 5065 5205 5360 5526 5701 5882 6063 6240 6408 6576 6754 6944 7144 7356 7578 7812 8056 8311 8577 8854 9141 9437 9743 10058 10381 10712 11049 11392 11741 12095 12454 12818 13184 13553 13922 14291 14659 15023 15383 15737 16083 16419 16744 17056 17353 17633 17894 18115 18278 18388 18452 18476 18465 18426 18367 18294 18213 18132 18057 17993 17949 17929 17940 17988 18082 18226
"79" 3284 3341 3415 3505 3605 3713 3824 3933 4035 4123 4212 4320 4444 4581 4730 4886 5047 5208 5365 5512 5658 5815 5982 6161 6349 6549 6759 6980 7211 7452 7703 7964 8233 8511 8797 9090 9390 9694 10003 10317 10641 10972 11311 11656 12007 12361 12718 13075 13432 13787 14137 14480 14815 15138 15448 15742 16017 16271 16486 16648 16761 16831 16864 16864 16839 16794 16736 16670 16603 16541 16490 16455 16443 16459 16509 16600 16738
"80" 2757 2806 2870 2947 3034 3127 3223 3317 3404 3479 3556 3649 3757 3878 4008 4145 4286 4427 4564 4692 4819 4955 5101 5258 5424 5601 5787 5983 6189 6405 6629 6863 7105 7355 7612 7876 8145 8419 8697 8981 9275 9579 9892 10213 10541 10875 11213 11554 11897 12238 12577 12911 13238 13554 13859 14148 14420 14671 14884 15049 15169 15249 15293 15307 15296 15267 15224 15174 15122 15074 15035 15011 15007 15029 15082 15172 15306
"81" 2296 2337 2391 2456 2530 2609 2690 2770 2844 2908 2973 3053 3145 3249 3361 3479 3601 3723 3840 3950 4059 4177 4303 4439 4584 4738 4901 5073 5253 5443 5641 5848 6062 6284 6513 6748 6989 7234 7483 7739 8005 8282 8568 8863 9166 9475 9790 10110 10432 10755 11077 11396 11710 12016 12312 12594 12862 13110 13325 13495 13623 13713 13770 13798 13803 13790 13764 13730 13693 13659 13633 13620 13625 13653 13710 13800 13931
"82" 1894 1929 1974 2028 2090 2155 2223 2290 2352 2405 2460 2528 2606 2693 2788 2888 2991 3094 3195 3288 3381 3481 3590 3706 3830 3963 4103 4251 4408 4572 4745 4925 5112 5307 5508 5716 5929 6147 6369 6598 6837 7087 7345 7613 7888 8171 8460 8754 9052 9353 9654 9954 10250 10542 10825 11099 11360 11606 11822 11996 12132 12233 12303 12346 12366 12369 12359 12341 12320 12300 12287 12285 12299 12334 12395 12487 12615
"83" 1549 1577 1614 1659 1709 1763 1818 1873 1924 1969 2015 2071 2135 2208 2287 2370 2456 2542 2626 2705 2783 2868 2959 3058 3163 3275 3394 3521 3654 3795 3943 4097 4259 4427 4602 4783 4970 5162 5359 5562 5775 5997 6229 6468 6716 6970 7232 7499 7770 8045 8322 8599 8876 9149 9418 9680 9932 10173 10388 10566 10709 10819 10901 10957 10993 11011 11017 11015 11008 11003 11003 11012 11035 11076 11141 11234 11360
"84" 1254 1277 1307 1343 1383 1427 1471 1515 1557 1594 1631 1677 1730 1789 1854 1922 1992 2063 2132 2198 2263 2334 2410 2492 2580 2674 2774 2880 2992 3110 3235 3366 3504 3647 3797 3953 4115 4282 4455 4634 4821 5017 5221 5433 5652 5879 6112 6350 6594 6842 7093 7346 7600 7853 8104 8350 8591 8825 9037 9215 9362 9481 9572 9641 9690 9722 9743 9756 9764 9772 9784 9804 9835 9883 9952 10045 10168
"85" 1005 1024 1048 1076 1108 1142 1177 1212 1245 1275 1306 1343 1386 1433 1485 1539 1596 1653 1709 1763 1817 1875 1938 2006 2078 2155 2238 2325 2418 2516 2620 2730 2845 2966 3093 3225 3363 3507 3657 3812 3976 4146 4324 4509 4700 4899 5104 5314 5530 5751 5975 6203 6432 6663 6894 7123 7350 7573 7778 7954 8103 8226 8325 8404 8464 8510 8544 8570 8592 8612 8636 8665 8705 8759 8830 8924 9044
"86" 797 812 831 853 877 904 931 958 984 1008 1033 1062 1096 1134 1174 1217 1262 1307 1352 1396 1440 1487 1538 1593 1652 1715 1782 1853 1929 2009 2094 2184 2279 2380 2485 2596 2713 2835 2962 3096 3236 3382 3535 3695 3860 4032 4209 4392 4581 4774 4972 5174 5379 5587 5796 6006 6216 6425 6620 6791 6938 7063 7167 7253 7323 7379 7425 7463 7496 7528 7562 7601 7647 7706 7780 7873 7988
"87" 626 637 651 668 687 707 728 748 769 787 807 830 856 885 917 950 984 1020 1055 1090 1125 1163 1204 1248 1295 1345 1399 1456 1517 1582 1650 1723 1801 1883 1969 2061 2158 2260 2367 2480 2599 2723 2852 2987 3128 3275 3427 3584 3746 3914 4086 4263 4443 4627 4814 5004 5195 5387 5569 5731 5873 5997 6104 6194 6271 6335 6391 6439 6482 6524 6567 6613 6666 6728 6803 6894 7005
"88" 485 494 505 517 531 546 562 577 593 607 622 640 660 682 706 731 757 785 812 839 867 897 930 964 1001 1041 1083 1128 1176 1228 1282 1341 1403 1468 1539 1613 1692 1776 1865 1959 2057 2161 2269 2382 2500 2624 2752 2885 3024 3167 3315 3467 3624 3785 3949 4117 4288 4461 4628 4778 4913 5033 5139 5231 5312 5382 5445 5501 5552 5602 5652 5705 5762 5827 5903 5991 6096
"89" 372 378 386 396 406 416 428 439 451 462 474 487 502 519 536 555 575 595 616 637 659 682 707 734 763 793 826 861 899 939 982 1028 1076 1129 1184 1244 1307 1375 1447 1524 1605 1690 1779 1872 1970 2072 2179 2291 2407 2528 2653 2783 2917 3055 3198 3344 3494 3647 3797 3934 4059 4172 4275 4366 4448 4522 4589 4651 4709 4764 4820 4877 4938 5004 5079 5164 5262
"90" 281 286 292 299 306 314 322 330 338 347 356 366 377 389 401 415 430 445 460 476 493 511 530 550 572 596 621 648 677 707 740 776 814 854 898 944 995 1048 1106 1168 1233 1301 1373 1449 1529 1613 1701 1793 1889 1990 2094 2203 2316 2434 2555 2681 2810 2943 3074 3196 3309 3414 3511 3599 3681 3755 3825 3890 3951 4011 4070 4130 4192 4259 4332 4412 4503
"91" 210 214 218 223 228 233 238 244 250 257 263 271 279 287 296 306 316 327 339 351 363 377 391 406 423 441 459 480 501 525 550 577 606 637 670 706 745 787 832 881 932 986 1044 1105 1169 1236 1308 1382 1461 1543 1630 1720 1814 1912 2014 2120 2229 2342 2454 2561 2661 2756 2845 2929 3007 3081 3150 3216 3279 3341 3402 3463 3526 3591 3661 3736 3819
"92" 155 158 161 164 167 171 174 178 183 187 192 197 203 209 215 222 229 237 245 254 263 273 284 295 308 321 335 350 366 383 402 422 443 467 492 519 549 581 616 653 693 735 780 828 879 933 989 1050 1113 1180 1250 1324 1401 1481 1565 1653 1743 1837 1931 2022 2110 2194 2274 2351 2424 2495 2562 2627 2690 2752 2813 2874 2935 2999 3065 3134 3209
"93" 113 115 117 119 121 123 126 128 131 135 138 142 146 150 154 159 164 169 175 181 188 195 203 211 220 229 240 251 262 275 289 304 319 337 355 376 398 422 448 476 506 539 573 610 650 692 737 784 835 888 944 1003 1066 1131 1199 1270 1344 1420 1497 1573 1648 1720 1791 1860 1928 1993 2057 2119 2180 2240 2300 2359 2418 2479 2540 2603 2669
"94" 81 82 83 85 86 88 89 91 93 95 98 100 103 106 108 111 115 118 122 127 132 137 142 148 155 161 169 177 185 194 204 215 226 239 252 267 283 301 320 341 363 388 414 442 472 505 540 577 616 658 702 749 799 851 905 962 1021 1081 1143 1205 1267 1329 1390 1450 1511 1570 1629 1687 1745 1802 1859 1915 1971 2027 2084 2140 2198
"95" 57 58 59 60 60 61 62 63 65 66 68 70 72 73 75 77 79 82 84 87 91 94 98 102 107 112 117 122 128 135 142 149 158 166 176 187 198 211 225 240 256 274 293 314 337 362 388 417 447 480 514 551 590 630 673 717 763 810 859 908 959 1010 1061 1114 1166 1219 1272 1325 1378 1431 1484 1536 1588 1640 1691 1741 1791
"96" 40 40 41 41 42 42 43 44 44 46 47 48 49 50 51 52 54 55 57 59 61 64 67 69 73 76 79 83 87 92 97 102 108 114 121 128 136 145 155 165 177 190 204 219 236 255 275 296 319 344 370 399 428 460 492 527 562 598 635 673 713 755 797 841 886 932 979 1026 1074 1122 1170 1218 1265 1311 1357 1400 1442
"97" 27 28 28 28 28 29 29 29 30 31 31 32 33 34 34 35 36 37 38 39 41 43 44 46 48 51 53 56 58 62 65 68 72 77 81 86 92 98 104 112 120 129 139 150 162 176 191 207 224 242 262 284 306 330 355 380 407 433 461 491 522 554 589 625 663 702 742 783 825 868 910 953 995 1036 1076 1114 1149
"98" 18 19 19 19 19 19 19 20 20 20 21 21 22 22 23 23 23 24 25 26 27 28 29 30 32 33 35 36 38 40 43 45 48 51 54 57 61 65 69 74 80 86 93 101 110 119 130 141 154 168 183 199 215 233 251 270 290 309 329 351 375 400 427 456 487 519 553 588 625 661 699 736 773 809 843 875 904
