"ages" "BetaTrue"
12 0.0177187955640297
13 0.0184435476708982
14 0.0191183786045965
15 0.0197505337014929
16 0.0203210173594231
17 0.0208256476599189
18 0.0212802925664792
19 0.0216913392258039
20 0.0220403844942269
21 0.0223090252280817
22 0.0224788582837022
23 0.0226215773398702
24 0.0227356498295212
25 0.0226928332402192
26 0.0223962088163797
27 0.0219301157100243
28 0.0214381982701265
29 0.0208829073717157
30 0.0201749832149361
31 0.0193805041364336
32 0.0185655484728539
33 0.0177961945608429
34 0.0170011018332744
35 0.0161404665528271
36 0.0153276723008536
37 0.0145341057015347
38 0.0137145713296786
39 0.0129575796925789
40 0.0122534766813058
41 0.0115496110604624
42 0.0108699976476412
43 0.0102386512604346
44 0.00967958671643516
45 0.00919645868015681
46 0.00876745406578017
47 0.00837838606539789
48 0.0080508197011291
49 0.00778737301566354
50 0.00754543873194972
51 0.00732121270309075
52 0.00713631492489912
53 0.00698627433438734
54 0.00686661986856797
55 0.00677288046445353
56 0.00672075788874362
57 0.0067111047354516
58 0.00671717618256066
59 0.00675535265973379
60 0.00683418722125229
61 0.00691519398202685
62 0.00699980942090218
63 0.00710971098403032
64 0.00723677423728294
65 0.00737287474653173
66 0.00750988807764838
67 0.00767104767738735
68 0.00785689156173115
69 0.00802525215039354
70 0.00819621628463398
71 0.00838486279500936
72 0.00854151208517964
73 0.00867574030947217
74 0.0088175802262523
75 0.00894803714523691
76 0.00904811637614291
77 0.0090988232286872
78 0.00910956115281556
79 0.00909464731117378
80 0.00904245758252875
81 0.00894582437032214
82 0.00881207760700291
83 0.00865133946484892
84 0.00845789784189266
85 0.00822509256306975
86 0.00796162369101271
87 0.00767619128835408
88 0.00737749541772638
89 0.00706169033143831
90 0.00672108099986068
91 0.00635859356271908
92 0.00597715415973915
93 0.00557968893064651
94 0.00516593855473135
95 0.00473361041621379
96 0.00428258071221435
97 0.00381272563985354
98 0.00332392139625189
